nachname	Sterbedatum	Geburtsdatum	GND-Nummer	vorname	beruf	ort	original
Iban, Carl	1940-10-05	1875-07-26	1061750574	Karl	Theaterleiter	Berlin	Iban, Karl (Theaterleiter, Berlin)
Jank, Angelo	1940-10-09	1868-10-30	117078778	Angelo			Jank, Angelo
Karpp				J.	frz. Übersetzer	Cannes	Karpp, J. (frz. Übersetzer, Cannes)
Kennerley, Mitchell	1950	1878	119523078	Mitchell			Kennerley, Mitchell
Keuls, Henricus Wybrandus Jacobus Maria	1968	1883	139929355	Henricus Wijbrandus Jacobus Maria			Keuls, Henricus Wijbrandus Jacobus Maria
Khol, František	1930	1877	172206383	František			Khol, František
Kholova				Mila	Theateragentin	Tschechien	Kholova, Mila (Theateragentin, Tschechien)
Kiepenheuer, Gustav	1949-04-06	1880-06-10	120786974	Gustav			Kiepenheuer, Gustav
Knésková				Jaroslava	Literaturagentin	Tschechien	Knésková, Jaroslava (Literaturagentin, Tschechien)
Koller				Paul	Literaturagent?	Wien	Koller, Paul (Literaturagent?, Wien)
Kolowrat-Krakowsky, Alexander Joseph von	1927-12-04	1886-01-29	119159295	Sascha			Kolowrat-Krakowsky, Sascha
Krause					Literaturagent? Anwalt?	vielleicht New York	Krause (Literaturagent? Anwalt?, vielleicht New York)
Lahmann					Lehrer	Vicenza	Lahmann (Lehrer, Vicenza)
Lauffer				Hans			Lauffer, Hans
Lechner				Oskar			Lechner, Oskar
Lederer, Emanuel			116851740	Emanuel			Lederer, Emanuel
Leonard, Oscar		1881	1136979557	Oscar			Leonard, Oscar
Leonhard, Frank	1961-08-18	1882-09-04	116919132	Frank			Leonhard, Frank
Lotz, Hans	1916-03-11	1877-12-05	1034941690	Hans			Lotz, Hans
Antiquariat Rudolf Lucek			1086484274	Rudolf	Buchhändler	Wien	Lucek, Rudolf (Buchhändler, Wien)
Lugt Melsert				Cor van der			Lugt Melsert, Cor van der
Löwenfeld, Hans	1921-05-18	1875	117168769	Hans			Löwenfeld, Hans
Machiels				Robert de	Theaterleiter und Dramatiker	Paris	Machiels, Robert de (Theaterleiter und Dramatiker, Paris)
Maixdorff, Karl von	1928-12-16	1864-05-06	116691484	Karl von			Maixdorff, Karl von
Marcellini, Giovanni			127145885	Giovanni			Marcellini, Giovanni
Martin, Anton Karl		1884	116802529	Anton Karl			Martin, Anton Karl
Merk					Theaterdirektor	Nürnberg	Merk (Theaterdirektor, Nürnberg)
Merwin, Bertold	1946	1879	116907940	Bertold			Merwin, Bertold
Meyerhold				Thaddäus	Übersetzer 'Traumnovelle'?		Meyerhold, Thaddäus (Übersetzer 'Traumnovelle'?)
Mingarro Sanmartín				José	Übersetzer	Spanien	Mingarro Sanmartín, José (Übersetzer, Spanien)
Mohr				Hans	Übersetzer ins Esparanto		Mohr, Hans (Übersetzer ins Esparanto)
Morgenstern				Arthur	Verleger?	Brünn	Morgenstern, Arthur (Verleger?, Brünn)
Muret, Maurice	1954-09-07	1870-06-11	1025877519	Maurice			Muret, Maurice
Murray				Marr	Übersetzer	England	Murray, Marr (Übersetzer, England)
Rudat, Gisela			1121934692	Gisela	Übersetzerin und Journalistin	Lemberg	Nadler, Gisela (Übersetzerin und Journalistin, Lemberg)
Neldner, Paul	1929-06-12	1852	135572533	Paul			Neldner, Paul
Murdfield, Magdalene	1959	1898-02-03	125728379	Leni	geb. Murdfield		Nettesheim, Leni (geb. Murdfield)
Nillson, Edda			126634947		Schauspielerin	England	Nillson (Schauspielerin, England)
Nitsche				Cornels Albrecht	Literaturhistoriker	Braunschweig	Nitsche, Cornels Albrecht (Literaturhistoriker, Braunschweig)
Norris				William	Theaterdirektor	Kopenhagen	Norris, William (Theaterdirektor, Kopenhagen)
Orth				Alexander			Orth, Alexander
